player_id,season_name,games_played,minutes_played,fieldgoals_made,fieldgoals_attempted,threes_made,threes_attempted,freethrows_made,freethrows_attempted,rebounds_total,assists_total,steals_total,blocks_total,turnovers_total,points_total
1631104,2022-23,37,669,69,215,20,52,26,44,82,98,25,5,65,184
1629632,2022-23,74,1730,263,594,128,344,61,70,212,204,54,6,74,715
1628401,2022-23,82,2319,350,758,149,391,168,192,293,321,54,76,95,1017
1630598,2022-23,70,1297,186,363,48,122,59,71,210,80,39,15,55,479
203952,2022-23,37,1190,250,529,89,225,44,72,186,85,45,28,48,633
1629684,2022-23,79,2045,216,476,115,291,94,122,363,131,41,31,82,641
1631114,2022-23,75,2276,414,794,73,205,155,191,337,248,103,35,123,1056
1631119,2022-23,49,914,102,234,46,113,38,54,241,76,28,12,37,288
1629026,2022-23,53,1206,179,346,50,134,17,39,261,105,45,14,32,425
1631109,2022-23,43,828,160,251,0,0,67,97,304,18,28,45,40,387
1630172,2022-23,82,2323,314,677,115,277,90,105,327,100,72,70,101,833
1630533,2022-23,37,561,84,196,25,97,17,22,79,35,14,6,37,210
1629627,2022-23,29,956,285,469,7,19,177,248,202,133,32,16,99,754
1630164,2022-23,21,262,59,94,1,2,26,38,73,14,3,7,14,145
1626153,2022-23,50,1221,138,291,41,119,52,60,180,194,92,17,44,369
201152,2022-23,54,795,108,198,6,34,18,26,166,75,54,5,42,240
1629027,2022-23,73,2541,597,1390,154,460,566,639,217,741,80,9,300,1914
1627826,2022-23,76,2169,326,514,0,2,166,238,756,77,29,98,117,818
1630188,2022-23,68,1279,242,508,54,191,104,137,394,66,21,60,72,642
1631110,2022-23,56,1458,250,552,33,134,81,116,295,142,43,23,97,614
1630191,2022-23,50,1414,195,441,67,205,110,149,403,70,20,34,68,567
1629622,2022-23,80,2272,324,790,197,563,78,89,258,171,42,12,70,923
1630591,2022-23,53,1246,186,444,66,202,86,119,161,155,67,27,94,524
1630256,2022-23,31,677,110,229,13,46,50,69,118,84,21,7,47,283
1628369,2022-23,74,2732,727,1559,240,686,531,622,649,342,78,51,213,2225
1630560,2022-23,57,948,201,456,51,133,151,174,95,78,20,7,63,604
202691,2022-23,69,2279,546,1252,301,731,116,132,286,163,49,29,123,1509
1629680,2022-23,49,591,50,116,21,63,9,12,63,23,45,14,8,130
1630214,2022-23,61,1180,188,306,4,15,49,89,307,96,58,29,44,429
1630167,2022-23,67,1051,187,419,85,247,38,47,187,66,23,12,38,497
1626157,2022-23,29,957,212,428,60,164,118,135,236,140,20,17,86,602
200782,2022-23,75,1920,96,225,55,140,19,23,295,60,39,15,44,266
1626167,2022-23,62,1825,402,733,93,249,216,276,466,89,36,140,103,1113
202685,2022-23,79,1968,446,816,38,109,185,224,804,140,20,52,159,1115
1627832,2022-23,69,2535,437,1112,207,606,254,283,280,495,123,38,140,1335
1629020,2022-23,52,1254,173,311,19,57,67,102,409,142,53,15,68,432
1630170,2022-23,38,1178,261,595,103,266,78,100,148,136,43,17,57,703
1629216,2022-23,68,1759,228,567,117,350,68,78,145,167,62,5,92,641
202696,2022-23,82,2746,597,1148,121,347,132,158,903,265,60,57,139,1447
1629731,2022-23,44,892,73,177,45,127,15,23,150,37,28,21,17,206
1630532,2022-23,80,2609,542,1118,130,360,271,322,329,283,77,17,167,1485
1629021,2022-23,57,1109,198,396,51,163,153,182,259,84,37,13,68,600
1627752,2022-23,54,1193,177,379,74,194,65,77,132,84,28,15,69,493
1630193,2022-23,81,2344,419,936,168,454,203,248,337,279,80,14,100,1209
203944,2022-23,77,2737,658,1432,218,636,402,531,767,316,49,21,216,1936
1630559,2022-23,64,1843,259,490,86,216,229,265,193,215,33,19,99,833
1629629,2022-23,20,438,61,136,17,56,29,33,31,20,15,8,15,168
1630194,2022-23,69,755,124,209,1,6,38,51,262,27,46,51,45,287
1629675,2022-23,68,1251,310,577,75,217,86,127,333,77,42,53,92,781
1630208,2022-23,65,1218,197,313,1,1,137,183,416,38,11,71,59,532
1626196,2022-23,42,997,177,406,74,207,53,60,119,137,40,11,63,481
1629130,2022-23,42,690,88,237,63,192,29,32,69,46,14,0,28,268
1629011,2022-23,59,1589,188,280,0,0,59,122,555,53,56,109,41,435
1630526,2022-23,43,814,110,248,37,111,35,42,180,43,24,11,19,292
1629676,2022-23,42,474,67,155,18,60,20,41,107,38,18,7,31,172
1631223,2022-23,70,1259,180,420,65,212,41,65,193,59,29,19,57,466
201565,2022-23,27,338,61,159,19,63,11,12,40,46,7,5,22,152
1626179,2022-23,63,2221,493,1188,165,505,178,220,259,319,74,16,134,1329
201937,2022-23,33,566,61,178,21,82,28,35,70,115,26,6,31,171
1626156,2022-23,54,1778,338,727,148,379,143,167,165,334,60,21,147,967
1627734,2022-23,79,2736,577,938,31,83,325,438,973,573,65,39,230,1510
203967,2022-23,37,533,76,178,27,69,36,44,142,57,13,5,36,215
203471,2022-23,67,1986,270,650,74,225,216,252,165,298,50,10,112,830
1630578,2022-23,75,2171,442,799,19,57,206,288,678,291,70,70,193,1109
1629012,2022-23,48,1145,237,468,48,122,163,199,105,138,27,6,85,685
1629013,2022-23,40,807,113,300,75,199,45,51,67,93,26,5,36,346
1631101,2022-23,80,1779,306,648,102,283,75,105,236,94,38,24,83,789
1627783,2022-23,71,2652,630,1313,93,287,367,474,556,415,65,36,169,1720
1629014,2022-23,62,2171,467,1045,212,562,160,179,161,253,42,14,128,1306
1630579,2022-23,52,812,83,107,0,1,12,16,242,25,15,28,27,178
203935,2022-23,61,1957,250,602,115,342,88,118,191,382,93,23,143,703
1627749,2022-23,74,2693,612,1319,133,387,158,190,389,448,112,19,160,1515
1627750,2022-23,65,2133,473,1041,172,432,180,216,257,400,66,16,145,1298
1631099,2022-23,80,2382,354,782,206,501,62,81,371,98,61,42,60,976
203488,2022-23,43,622,89,203,56,142,31,39,135,38,11,19,14,265
1629614,2022-23,75,2074,284,644,92,263,49,62,199,341,70,13,126,709
1630174,2022-23,73,1816,252,590,115,314,119,142,277,98,55,34,75,738
1627777,2022-23,78,1512,222,502,154,384,39,45,185,77,30,14,54,637
203457,2022-23,14,152,12,30,1,2,7,10,37,7,13,9,8,32
203994,2022-23,52,1391,262,505,43,119,127,192,471,149,43,44,119,694
1629670,2022-23,38,597,76,197,40,102,37,43,117,38,12,7,34,229
1626220,2022-23,76,2409,229,593,163,419,50,69,384,283,65,49,114,671
1629643,2022-23,27,518,43,122,26,86,16,21,96,37,19,11,17,128
1629006,2022-23,72,1351,162,414,66,197,139,192,251,105,56,34,63,529
1630168,2022-23,80,1849,317,497,4,13,153,196,576,81,56,107,81,791
1630171,2022-23,76,1653,175,354,62,171,78,103,187,87,56,30,42,490
203482,2022-23,68,1942,278,557,93,236,198,232,420,252,60,37,168,847
1626224,2022-23,77,1548,239,530,116,312,75,108,176,115,35,11,52,669
101108,2022-23,59,1889,294,668,98,261,133,160,251,524,91,22,114,819
1626166,2022-23,48,968,188,453,68,185,49,64,106,214,33,8,81,493
203486,2022-23,56,1596,265,396,0,0,155,256,541,205,35,35,87,685
1627751,2022-23,46,1199,239,388,0,1,78,129,416,141,36,52,96,556
1630197,2022-23,34,701,108,249,38,104,22,35,159,64,20,43,43,276
1629673,2022-23,82,2458,550,1278,214,637,361,415,225,369,63,21,252,1675
